state,date,confirmed_cases,confirmed_cases_norm,confirmed_deaths,confirmed_deaths_norm
AK,2020-10-18,1370.0,3935.0,7.0,13.0
AK,2020-10-19,1334.0,3923.0,7.0,13.0
AK,2020-10-20,1344.0,4198.0,7.0,13.0
AK,2020-10-21,1416.0,4514.0,7.0,17.0
AK,2020-10-22,1472.0,5032.0,4.0,13.0
AK,2020-10-23,1542.0,6076.0,3.0,2.0
AK,2020-10-24,1568.0,5253.0,2.0,4.0
AK,2020-10-25,1715.0,5805.0,1.0,4.0
AK,2020-10-26,2023.0,6903.0,1.0,4.0
AK,2020-10-27,2167.0,6782.0,1.0,4.0
AK,2020-10-28,2316.0,7471.0,3.0,2.0
AK,2020-10-29,2447.0,7419.0,3.0,3.0
AK,2020-10-30,2581.0,7010.0,9.0,22.0
AK,2020-10-31,2714.0,7430.0,13.0,37.0
AK,2020-11-01,2804.0,7275.0,14.0,38.0
AK,2020-11-02,2628.0,6254.0,15.0,39.0
AK,2020-11-03,2632.0,6285.0,16.0,39.0
AK,2020-11-04,2641.0,5987.0,14.0,38.0
AK,2020-11-05,2696.0,5966.0,13.0,36.0
AK,2020-11-06,2635.0,5627.0,7.0,17.0
AK,2020-11-07,2776.0,5864.0,3.0,2.0
AK,2020-11-08,2935.0,6199.0,2.0,1.0
AK,2020-11-09,3108.0,6775.0,1.0,0.0
AK,2020-11-10,3230.0,7570.0,0.0,0.0
AK,2020-11-11,3371.0,8080.0,8.0,6.0
AK,2020-11-12,3463.0,8567.0,12.0,10.0
AK,2020-11-13,3633.0,8752.0,12.0,10.0
AK,2020-11-14,3699.0,9101.0,13.0,11.0
AK,2020-11-15,3830.0,9192.0,14.0,11.0
AK,2020-11-16,3965.0,9405.0,14.0,11.0
AK,2020-11-17,4075.0,8930.0,14.0,11.0
AK,2020-11-18,4181.0,8117.0,8.0,8.0
AK,2020-11-19,4226.0,8547.0,4.0,3.0
AK,2020-11-20,4236.0,9236.0,5.0,3.0
AK,2020-11-21,4107.0,9132.0,4.0,3.0
AK,2020-11-22,4046.0,9258.0,4.0,34.0
AK,2020-11-23,3934.0,8956.0,5.0,3.0
AK,2020-11-24,3851.0,9578.0,5.0,3.0
AK,2020-11-25,3802.0,10008.0,16.0,81.0
AK,2020-11-26,3929.0,10077.0,16.0,81.0
AK,2020-11-27,3993.0,9782.0,18.0,108.0
AK,2020-11-28,4199.0,9446.0,18.0,108.0
AK,2020-11-29,4187.0,9599.0,19.0,78.0
AK,2020-11-30,4265.0,10097.0,18.0,108.0
AK,2020-12-01,4274.0,9647.0,18.0,108.0
