FIPS,other_resp_mortality,interstitial_lung_mortality,asthma_mortality,other_pneumoconiosis_mortality,coal_pneumoconiosis_mortality,asbestosis_mortality,silicosis_mortality,pneumoconiosis_mortality,COPD_mortality,chronic_respiratory_mortality
47139,"1.02 (0.76, 1.38)","5.32 (3.33, 7.07)","1.22 (0.82, 1.75)","0.26 (0.17, 0.38)","0.05 (0.01, 0.22)","0.19 (0.06, 0.45)","0.02 (0.00, 0.07)","0.53 (0.28, 1.03)","74.27 (68.03, 80.27)","82.36 (76.64, 88.07)"
47141,"0.93 (0.76, 1.14)","6.46 (4.15, 8.15)","1.02 (0.73, 1.39)","0.20 (0.14, 0.29)","0.19 (0.06, 0.45)","0.30 (0.15, 0.49)","0.04 (0.01, 0.09)","0.73 (0.42, 1.21)","67.90 (63.75, 72.13)","77.03 (73.26, 81.07)"
47143,"1.02 (0.74, 1.37)","5.60 (3.30, 7.55)","1.09 (0.71, 1.56)","0.22 (0.15, 0.34)","0.39 (0.11, 0.93)","0.49 (0.22, 0.87)","0.02 (0.01, 0.07)","1.13 (0.58, 2.04)","76.57 (71.22, 81.86)","85.41 (80.59, 90.53)"
47145,"0.99 (0.75, 1.32)","6.07 (3.89, 7.68)","0.85 (0.63, 1.14)","0.25 (0.17, 0.37)","0.34 (0.12, 0.76)","0.87 (0.51, 1.27)","0.04 (0.01, 0.08)","1.49 (0.88, 2.33)","66.67 (62.19, 70.90)","76.08 (72.03, 79.97)"
47147,"0.81 (0.61, 1.05)","4.84 (3.02, 6.26)","1.12 (0.83, 1.49)","0.20 (0.13, 0.29)","0.03 (0.00, 0.12)","0.09 (0.04, 0.19)","0.01 (0.00, 0.02)","0.33 (0.19, 0.56)","63.79 (59.33, 68.07)","70.88 (67.01, 74.76)"
47149,"0.77 (0.61, 0.96)","6.13 (4.01, 7.58)","0.93 (0.72, 1.21)","0.17 (0.12, 0.24)","0.01 (0.00, 0.05)","0.13 (0.06, 0.24)","0.01 (0.00, 0.02)","0.32 (0.21, 0.50)","55.19 (52.00, 58.45)","63.34 (60.51, 66.23)"
47151,"1.10 (0.83, 1.43)","5.03 (3.05, 6.81)","1.19 (0.81, 1.70)","0.32 (0.20, 0.50)","1.57 (0.70, 3.05)","0.43 (0.17, 0.83)","0.02 (0.01, 0.07)","2.34 (1.25, 4.19)","106.31 (98.97, 114.34)","115.97 (108.77, 123.45)"
47153,"0.95 (0.72, 1.24)","4.68 (2.84, 6.45)","1.07 (0.73, 1.57)","0.22 (0.14, 0.33)","0.73 (0.20, 1.77)","0.19 (0.06, 0.42)","0.02 (0.00, 0.06)","1.15 (0.49, 2.44)","74.59 (68.87, 81.04)","82.43 (76.78, 89.24)"
47155,"0.97 (0.71, 1.33)","5.01 (3.15, 6.30)","0.90 (0.66, 1.24)","0.18 (0.13, 0.27)","0.09 (0.02, 0.26)","0.15 (0.07, 0.27)","0.03 (0.01, 0.06)","0.46 (0.27, 0.79)","52.58 (48.88, 56.29)","59.92 (56.53, 63.49)"
47157,"0.91 (0.75, 1.11)","5.88 (3.86, 6.88)","1.78 (1.54, 2.09)","0.18 (0.13, 0.24)","0.01 (0.00, 0.03)","0.06 (0.04, 0.11)","0.01 (0.00, 0.01)","0.26 (0.19, 0.36)","41.32 (39.27, 43.57)","50.15 (48.29, 52.09)"
47159,"0.87 (0.65, 1.17)","5.01 (3.07, 6.97)","0.87 (0.57, 1.30)","0.23 (0.14, 0.34)","0.04 (0.00, 0.14)","0.09 (0.03, 0.19)","0.01 (0.00, 0.04)","0.36 (0.21, 0.64)","78.29 (72.27, 84.02)","85.41 (79.83, 91.08)"
47161,"0.89 (0.69, 1.16)","5.47 (3.21, 7.47)","1.16 (0.79, 1.60)","0.23 (0.14, 0.35)","0.06 (0.01, 0.20)","0.10 (0.03, 0.21)","0.01 (0.00, 0.03)","0.40 (0.22, 0.73)","86.18 (78.96, 94.07)","94.11 (87.35, 101.34)"
47163,"1.00 (0.80, 1.24)","5.68 (3.66, 7.00)","1.05 (0.82, 1.39)","0.19 (0.14, 0.26)","0.14 (0.06, 0.28)","0.08 (0.04, 0.13)","0.01 (0.00, 0.02)","0.42 (0.28, 0.63)","62.73 (59.57, 66.37)","70.88 (67.77, 74.05)"
47165,"0.74 (0.54, 1.01)","5.51 (3.38, 6.79)","0.76 (0.58, 0.98)","0.18 (0.12, 0.27)","0.02 (0.00, 0.08)","0.09 (0.04, 0.16)","0.01 (0.00, 0.02)","0.30 (0.19, 0.47)","53.12 (50.07, 56.23)","60.43 (57.63, 63.46)"
47167,"0.88 (0.65, 1.20)","5.50 (3.30, 7.11)","1.56 (1.13, 2.05)","0.21 (0.14, 0.31)","0.01 (0.00, 0.06)","0.08 (0.02, 0.18)","0.01 (0.00, 0.02)","0.30 (0.18, 0.52)","67.73 (62.93, 72.50)","75.97 (71.69, 80.35)"
47169,"0.95 (0.68, 1.31)","5.00 (2.80, 7.22)","0.99 (0.61, 1.53)","0.23 (0.13, 0.37)","0.06 (0.00, 0.34)","0.12 (0.03, 0.34)","0.04 (0.00, 0.14)","0.45 (0.20, 1.09)","107.50 (97.72, 116.89)","114.88 (105.61, 124.32)"
47171,"0.91 (0.66, 1.22)","4.33 (2.71, 5.89)","1.10 (0.75, 1.57)","0.20 (0.13, 0.29)","0.19 (0.05, 0.54)","0.20 (0.09, 0.37)","0.22 (0.09, 0.44)","0.82 (0.44, 1.53)","62.37 (57.48, 67.24)","69.52 (65.07, 74.14)"
