state_code,state_fips,state_name,state_population,last_updated,date,weekday,covid,grade_total,n_grade_total,daily_distance_diff,grade_distance,n_grade_distance,daily_visitation_diff,grade_visitation,n_grade_visitation,encounters_rate,grade_encounters,n_grade_encounters
FL,12,Florida,21299325,2020-06-02 15:35:34.457534 UTC,2020-04-03,6,Post,C-,2.7,-0.48520384680514295,C,3,-0.667904422566551,B,4,0.10357550017741235,F,1
FL,12,Florida,21299325,2020-06-02 15:35:34.457534 UTC,2020-03-14,7,Post,F,1,-0.13296544054005149,F,1,-0.25240391380410082,F,1,3.1481655329725866,F,1
NJ,34,New Jersey,8908520,2020-06-02 15:35:34.457534 UTC,2020-03-13,6,Post,F,1,-0.17775046499857322,F,1,-0.15810760543153096,F,1,6.455576902463382,F,1
DC,11,District of Columbia,702455,2020-06-02 15:35:34.457534 UTC,2020-05-08,6,Post,C,3,-0.52554573159229867,C,3,-0.75317825944666816,A,5,20.249035424123797,F,1
DC,11,District of Columbia,702455,2020-06-02 15:35:34.457534 UTC,2020-05-05,3,Post,C,3,-0.53933858993858452,C,3,-0.75235558595578478,A,5,19.058363487968375,F,1
DC,11,District of Columbia,702455,2020-06-02 15:35:34.457534 UTC,2020-03-15,1,Post,F,1.3,-0.3320070354221894,D,2,-0.48467140606195952,F,1,23.480281707860708,F,1
AK,02,Alaska,737438,2020-06-02 15:35:34.457534 UTC,2020-03-22,1,Post,C,3,-0.41353352786233966,C,3,-0.44577647769716439,F,1,-0.99889701308535783,A,5
WY,56,Wyoming,577737,2020-06-02 15:35:34.457534 UTC,2020-04-22,4,Post,C,3,-0.25358450933175447,D,2,-0.57421689157413147,D,2,-0.98593065756042508,A,5
WY,56,Wyoming,577737,2020-06-02 15:35:34.457534 UTC,2020-03-10,3,Post,D+,2.3,-0.011512510434637906,F,1,-0.063593401481560674,F,1,-0.97807172464066494,A,5
MT,30,Montana,1062305,2020-06-02 15:35:34.457534 UTC,2020-05-12,3,Post,D+,2.3,-0.21194574641832484,F,1,-0.1944572684607494,F,1,-0.98708931675080025,A,5
MT,30,Montana,1062305,2020-06-02 15:35:34.457534 UTC,2020-04-05,1,Post,B,4,-0.45403272121269928,C,3,-0.66613049743905928,B,4,-0.99646562396084681,A,5
NM,35,New Mexico,2095428,2020-06-02 15:35:34.457534 UTC,2020-05-24,1,Post,D+,2.3,-0.11694626863028189,F,1,-0.34315675854498168,F,1,-0.95814494978005416,A,5
NM,35,New Mexico,2095428,2020-06-02 15:35:34.457534 UTC,2020-03-07,7,Pre,D,2,0.12086691428970629,F,1,0.048635558173945465,F,1,-0.915519510807306,B,4
NM,35,New Mexico,2095428,2020-06-02 15:35:34.457534 UTC,2020-02-27,5,Pre,D,2,0.052554183603493433,F,1,0.023839141133365278,F,1,-0.92433928406942867,B,4
ND,38,North Dakota,760077,2020-06-02 15:35:34.457534 UTC,2020-04-24,6,Post,C,3,-0.45999313442337408,C,3,-0.51905584629628387,F,1,-0.96723178507017382,A,5
