FIPS,tubercolosis_mortality,AIDS_mortality,diarrheal_mortality,lower_respiratory_mortality,meningitis_mortality,hepatitis_mortality
9015,0.13,1.54,3.74,32.72,0.31,0.22
10001,0.31,3.15,2.89,31.94,0.42,0.26
10003,0.31,5.18,3.12,27.71,0.41,0.3
10005,0.25,2.15,3.67,24.21,0.35,0.25
11001,0.48,16.11,2.31,23.78,0.59,0.49
12001,0.38,4.49,3.28,19.65,0.44,0.41
12003,0.27,2.6,2.63,37.91,0.4,0.4
12005,0.45,3.62,1.9,26.21,0.46,0.37
12007,0.28,3.45,2.84,26.06,0.44,0.51
12009,0.19,2.5,2.35,19.11,0.33,0.28
12011,0.18,8.31,1.41,14.39,0.35,0.3
12013,0.32,1.72,2.02,23.73,0.46,0.32
12015,0.1,1.79,1.94,21.05,0.31,0.24
12017,0.14,1.75,1.69,11.9,0.33,0.26
12019,0.23,1.52,2.62,21.83,0.34,0.34
12021,0.17,1.98,1.36,7.24,0.26,0.23
12023,0.41,4.53,3.42,27.74,0.46,0.46
12027,0.23,3.0,1.99,19.13,0.36,0.27
12029,0.28,2.71,2.7,22.59,0.38,0.58
12031,0.44,6.95,3.62,29.38,0.49,0.45
12033,0.44,5.02,3.09,23.23,0.5,0.36
12035,0.21,2.55,1.68,16.41,0.32,0.23
12037,0.32,1.76,2.07,23.44,0.41,0.29
12039,0.67,7.04,2.73,24.54,0.69,0.32
12041,0.3,2.17,3.09,24.37,0.37,0.41
12043,0.22,2.63,1.79,14.87,0.34,0.2
12045,0.29,1.81,1.79,18.1,0.42,0.35
12047,0.59,4.27,2.49,42.33,0.53,0.3
12049,0.3,2.96,2.56,23.75,0.39,0.28
12051,0.28,3.89,1.88,18.81,0.38,0.28
12053,0.17,2.44,2.95,14.3,0.31,0.36
12055,0.17,3.53,2.01,21.68,0.4,0.21
12057,0.31,5.31,2.82,20.81,0.41,0.46
12059,0.22,1.87,1.45,28.03,0.49,0.21
12061,0.14,2.71,1.63,12.95,0.29,0.18
12063,0.33,2.77,1.7,21.42,0.49,0.3
12065,0.4,3.58,2.18,25.17,0.5,0.26
12067,0.33,2.19,2.14,22.4,0.36,0.29
12069,0.22,3.07,3.47,17.27,0.35,0.27
12071,0.16,2.73,1.88,10.27,0.31,0.26
12073,0.43,4.63,2.56,21.57,0.46,0.32
12075,0.23,2.34,3.34,21.68,0.37,0.37
12077,0.32,1.91,2.39,22.81,0.47,0.28
