FIPS,other_resp_mortality,interstitial_lung_mortality,asthma_mortality,other_pneumoconiosis_mortality,coal_pneumoconiosis_mortality,asbestosis_mortality,silicosis_mortality,pneumoconiosis_mortality,COPD_mortality,chronic_respiratory_mortality
48327,0.85,5.37,1.33,0.27,0.02,0.14,0.08,0.51,47.0,55.06
48329,0.64,4.47,0.99,0.18,0.01,0.06,0.04,0.3,56.04,62.43
48331,0.93,5.0,1.32,0.25,0.02,0.58,0.14,1.0,51.13,59.38
48333,0.81,4.62,1.05,0.25,0.03,0.27,0.1,0.65,47.85,54.97
48335,0.9,5.27,1.48,0.24,0.02,0.12,0.04,0.42,85.21,93.28
48337,0.79,4.02,1.15,0.27,0.01,0.1,0.02,0.41,63.19,69.55
48339,0.62,4.78,0.83,0.24,0.01,0.22,0.02,0.49,54.77,61.49
48341,0.87,4.67,1.09,0.22,0.04,0.18,0.03,0.46,68.07,75.17
48343,0.94,4.59,1.42,0.28,0.06,0.53,0.04,0.91,60.91,68.77
48345,0.95,4.54,1.01,0.24,0.03,0.16,0.03,0.46,64.42,71.38
48347,0.9,5.26,1.21,0.26,0.01,0.52,0.06,0.84,65.24,73.46
48349,0.93,5.51,1.48,0.23,0.01,0.3,0.05,0.59,58.1,66.62
48351,0.91,4.72,1.28,0.29,0.02,1.74,0.15,2.21,67.73,76.87
48353,0.9,5.44,1.54,0.25,0.01,0.14,0.03,0.44,70.86,79.18
48355,0.67,5.55,1.17,0.16,0.01,0.17,0.02,0.36,40.85,48.61
48357,0.89,4.56,1.19,0.25,0.01,0.11,0.02,0.39,76.32,83.33
48359,0.85,4.34,1.04,0.29,0.05,0.14,0.03,0.51,93.89,100.62
48361,0.83,5.39,1.32,0.27,0.02,2.4,0.06,2.75,94.02,104.31
48363,0.86,4.28,1.43,0.24,0.02,0.27,0.04,0.57,78.44,85.59
48365,0.84,5.81,1.37,0.27,0.02,0.4,0.04,0.73,71.61,80.36
48367,0.69,5.22,1.23,0.21,0.01,0.2,0.03,0.45,65.1,72.69
48369,0.77,4.17,0.97,0.22,0.03,0.07,0.03,0.35,55.11,61.38
48371,0.82,5.09,1.52,0.19,0.02,0.08,0.05,0.33,53.34,61.1
48373,0.92,5.45,1.34,0.28,0.02,1.1,0.08,1.48,64.63,73.81
48375,1.03,5.87,1.44,0.21,0.03,0.18,0.03,0.45,104.6,113.39
48377,0.66,4.56,1.04,0.21,0.04,0.06,0.06,0.36,20.28,26.91
48379,0.91,4.28,1.0,0.26,0.03,0.24,0.03,0.55,56.0,62.74
48381,0.78,5.82,0.91,0.2,0.03,0.13,0.01,0.37,76.51,84.39
48383,0.78,4.91,1.26,0.23,0.02,0.08,0.06,0.38,67.19,74.52
48385,0.94,5.88,0.98,0.22,0.02,0.16,0.04,0.43,45.14,53.37
48387,0.94,4.05,1.5,0.31,0.02,0.16,0.02,0.52,58.57,65.58
48389,0.75,4.77,1.35,0.2,0.04,0.07,0.06,0.36,43.59,50.82
48391,0.86,5.0,1.27,0.21,0.01,0.19,0.02,0.43,49.97,57.53
48393,0.76,3.83,1.08,0.34,0.01,0.15,0.02,0.52,81.7,87.89
48395,0.94,5.47,1.66,0.27,0.01,0.25,0.04,0.58,56.12,64.77
