FIPS,Male_Obesity_%,Female_Obesity_%
8014,27.59,28.48
8014,27.59,28.48
8014,27.59,28.48
8014,27.59,28.48
8125,35.74,35.83
9001,27.01,26.86
9003,31.77,34.62
9005,30.08,28.72
9007,32.2,30.78
9009,32.54,36.19
9011,31.5,32.83
9013,30.75,32.68
9015,35.54,36.63
10001,40.19,44.19
10003,35.65,35.46
10005,38.0,39.73
11001,22.37,35.34
12001,28.59,33.71
12003,42.67,42.06
12005,32.24,35.69
12007,43.69,46.61
12009,35.58,34.33
12011,33.38,30.48
12013,37.39,46.92
12015,33.01,34.9
12017,38.79,35.29
12019,36.73,34.94
12021,33.85,27.6
12023,41.15,41.81
12027,38.22,43.96
12029,42.25,40.97
12031,36.07,37.49
12033,33.83,36.29
12035,35.78,33.22
12037,36.9,38.18
12039,37.27,51.05
12041,38.91,40.89
12043,37.75,40.04
12045,34.95,38.51
12047,43.84,44.82
12049,44.93,47.51
12051,39.2,46.25
12053,36.7,34.34
12055,38.12,39.41
12057,33.29,35.85
12059,38.4,41.78
12061,33.45,31.19
12063,37.54,44.11
12065,37.26,45.64
12067,38.11,39.79
12069,36.76,35.03
12071,34.95,32.34
12073,33.29,37.14
12075,40.12,39.85
12077,38.22,43.49
12079,39.73,47.35
12081,34.49,32.93
12083,37.6,38.77
12085,30.41,25.97
12086,33.85,34.02
12087,30.49,24.49
12089,36.67,32.77
12091,35.06,30.98
12093,40.33,43.18
12095,32.99,35.41
12097,36.07,39.6
12099,31.26,30.54
12101,35.72,33.84
12103,32.53,33.04
12105,38.62,41.96
12107,41.99,44.02
12109,33.32,28.61
12111,38.05,36.19
12113,35.1,30.61
12115,31.8,25.88
12117,33.91,31.06
12119,38.57,35.71
12121,38.55,41.03
12123,40.07,42.27
12125,45.5,47.68
12127,34.9,34.44
12129,39.33,40.25
12131,34.52,32.55
12133,36.54,42.79
13001,40.7,45.88
13003,41.41,48.23
13005,40.01,46.43
13007,39.03,47.86
13009,38.02,45.01
13011,38.66,39.4
13013,36.94,38.84
13015,37.3,36.28
13017,39.66,47.83
13019,40.98,43.95
13021,35.66,43.14
13023,42.21,46.99
13025,41.29,42.12
13027,38.98,47.03
13029,33.24,36.77
13031,36.73,42.98
13033,41.56,53.23
13035,40.61,44.12
13037,42.72,56.54
13039,36.92,37.16
13043,39.66,46.8
13045,36.18,39.75
13047,38.98,38.78
13049,44.32,49.48
13051,33.89,40.89
13053,35.39,40.23
13055,42.14,43.78
13057,34.71,29.9
13059,34.78,37.99
13061,40.37,53.13
13063,37.62,44.92
13065,44.13,48.82
13067,33.38,29.4
13069,39.47,44.5
13071,39.31,44.86
13073,31.13,32.46
13075,39.7,47.49
13077,34.33,36.56
13079,39.13,42.96
13081,38.9,49.18
13083,39.06,36.9
13085,34.28,31.54
13087,40.17,46.95
13089,28.34,38.15
13091,42.56,44.3
13093,40.82,51.52
13095,37.56,49.17
13097,34.6,35.1
13099,41.6,49.66
13101,44.17,45.26
13103,38.61,41.97
13105,40.34,44.28
13107,40.79,48.95
13109,38.65,47.96
13111,35.91,36.34
13113,29.64,30.35
13115,34.19,40.62
13117,30.57,25.74
13119,37.9,41.38
13121,27.14,31.83
13123,36.92,39.22
13125,40.56,43.71
13127,37.94,37.35
13129,36.95,38.93
13131,39.28,47.79
13133,38.08,45.13
13135,31.24,32.06
13137,35.88,38.55
13139,33.98,35.03
13141,41.63,55.35
13143,38.15,41.14
13145,35.8,37.34
13147,37.92,41.52
13149,41.11,44.02
13151,34.7,35.73
13153,35.75,39.13
13155,39.8,46.09
13157,38.55,35.18
13159,37.62,40.56
13161,39.71,45.19
13163,42.95,55.19
13165,43.63,54.46
13167,43.3,51.13
13169,36.45,39.27
13171,40.88,45.69
13173,41.61,44.68
13175,38.98,45.34
13177,36.58,37.91
13179,34.92,43.82
13181,40.02,45.23
13183,39.2,46.32
13185,38.27,40.95
13187,34.88,36.71
13189,42.36,48.77
13191,40.9,44.92
13193,40.84,49.97
13195,40.19,39.76
13197,39.72,46.11
13199,41.65,48.41
13201,38.48,43.37
13205,42.13,50.85
13207,38.84,42.08
13209,39.4,46.1
13211,38.12,39.96
13213,40.36,42.66
13215,37.42,44.88
13217,38.12,38.84
13219,33.44,30.9
13221,40.14,40.39
13223,38.03,33.05
13225,39.77,43.92
13227,36.2,34.54
13229,39.46,43.74
13231,38.64,41.06
13233,36.55,40.35
13235,41.43,47.16
13237,37.24,41.7
13239,45.25,54.41
13241,35.02,36.91
13243,43.95,55.02
13245,36.56,44.06
13247,33.49,38.04
13249,41.7,47.05
13251,42.95,50.39
13253,38.52,44.93
13255,40.01,46.92
13257,37.85,43.39
13259,38.62,55.33
13261,37.85,47.98
13263,41.88,51.11
13265,45.25,55.91
13267,39.93,49.76
13269,41.98,48.45
13271,39.78,46.95
13273,44.33,57.39
13275,34.56,44.5
13277,37.06,45.38
13279,38.41,45.48
13281,35.57,35.44
13283,42.7,49.0
13285,38.27,41.37
13287,42.09,52.45
13289,43.69,52.27
13291,33.4,33.94
13293,41.15,45.92
13295,40.47,41.21
13297,36.76,38.28
13299,38.05,44.64
13301,42.51,53.04
13303,40.81,50.18
