FIPS,region,shift,correlation
13253,state,42,0.5375784554075383
13255,county,24.0,0.6316151745884637
13257,state,24,0.6188715984506967
13259,county,13.0,0.2676756170100606
13261,state,21,0.5165858901925117
13263,state,17,0.5465512245995505
13265,state,34,0.36070358326262875
13267,county,51.0,0.4904714007887077
13269,county,74.0,0.33063493486790424
13271,state,10,0.41343362158174174
13273,state,31,0.5873049664718754
13275,state,37,0.7282591098597829
13277,state,5,0.7970927100386263
13279,county,24.0,0.5492170294647785
13281,state,15,0.25379819200329273
13283,county,32.0,0.5893342949025271
13285,county,17.0,0.759112887636755
13287,state,14,0.5337944927199463
13289,state,56,0.39039879941755257
13291,state,3,0.10457545691253993
13293,state,15,0.446998776562068
13295,county,12.0,0.5988340352983682
13297,county,20.0,0.5900701079573455
13299,county,29.0,0.5114699666315219
13301,county,52.0,0.44017909168096114
13303,state,31,0.5803185901906123
13305,state,33,0.49019988070138193
13307,state,21,0.5500515328874418
13309,county,34.0,0.3563880885997853
13311,state,33,0.40266760576984206
13313,county,35.0,0.6591921190147426
13315,state,25,0.5203469943617176
13317,state,20,0.5903553892553097
13319,state,52,0.6493848922470049
13321,state,17,0.5757700458113156
15001,county,64.0,0.6075503855591018
15003,state,25,0.629049878005725
15005,state,74,0.04434704119576349
15007,county,11.0,0.5893833934937162
16001,county,33.0,0.2820715038183601
16003,county,73.0,0.5440408347335508
16005,county,14.0,0.15010043684640442
16007,state,56,0.18780751797070788
16009,county,74.0,0.16124495250822868
16011,county,26.0,0.25178801470847934
16013,county,74.0,0.21035868077882103
16015,county,48.0,0.3071940139740546
16017,county,38.0,0.28546892651114014
16019,county,26.0,0.23366346718388206
16021,county,74.0,0.2316516816336348
16023,state,74,0.16749565604527192
16025,state,74,0.19430983409570216
16027,state,43,0.485220575767275
16029,county,17.0,0.19557668593079788
16031,county,34.0,0.4450619107440605
16033,state,74,0.34296231471877353
16035,county,72.0,0.47457416817487424
16037,state,74,0.5007244704938413
16039,state,39,0.06212837564796335
16041,county,74.0,0.1386852068133799
16043,state,10,0.10854496366817068
16045,state,65,0.2892071582139055
16047,state,44,0.20160658414145202
16049,county,72.0,0.6083277173126486
16051,county,28.0,0.0
16053,county,12.0,0.35586494267971935
16055,county,40.0,0.17869812663565654
16057,county,10.0,0.17532433296288388
16059,county,17.0,0.22320948572137042
16061,state,61,0.14199731190169998
16063,county,58.0,0.4031690669053509
16065,county,27.0,0.25319618492166507
16067,state,17,0.4677445853179368
16069,county,26.0,0.26684481732418747
16071,county,49.0,0.3448302342278235
16073,state,37,0.5128708495719733
16075,state,66,0.5541279628481519
16077,state,74,0.3957842540817616
16079,county,61.0,0.4407716710016672
16081,state,60,0.03415204263213535
16083,county,15.0,0.5817203397203201
16085,county,74.0,0.38756159578413546
16087,state,49,0.3197389051330995
17001,county,21.0,0.43487451280189926
17003,state,67,0.4183448249616529
17005,state,39,0.3826779478733031
17007,county,28.0,0.7494442382304457
17009,county,72.0,0.42209271647854313
17011,state,30,0.43751363245433145
17013,county,74.0,0.48641640061208935
17015,state,22,0.45374972401166147
17017,county,13.0,0.4528208930702624
17019,county,15.0,0.6708156662979159
17021,county,67.0,0.47790354720900263
17023,county,63.0,0.3941313703417957
17025,state,35,0.39415047748046456
17027,county,50.0,0.6547142144998828
17029,county,17.0,0.614351546368977
17031,state,36,0.6681573359898509
17033,county,30.0,0.4118012119160187
17035,state,43,0.2642680322064595
17037,county,15.0,0.7090004406028402
17039,county,70.0,0.35667937045359743
17041,state,2,0.3725116579629876
17043,state,30,0.694223833896471
17045,county,41.0,0.38706951573995474
17047,county,74.0,0.5885022802021342
17049,county,29.0,0.5220022079663076
17051,state,40,0.428901310017436
17053,county,68.0,0.3256863314193178
17055,county,39.0,0.5367261552697049
17057,state,25,0.23185856014684755
17059,county,74.0,0.4109901453602437
17061,state,33,0.4024918283728029
17063,county,17.0,0.6205618735181249
17065,county,70.0,0.5114175051792447
17067,state,32,0.3847764692610646
17069,county,67.0,0.5799337382436972
17071,state,19,0.44639219194082697
17073,county,14.0,0.5442861660352012
17075,state,35,0.5548986503966505
17077,county,14.0,0.7050205546040422
17079,state,22,0.5001584748502321
17081,county,33.0,0.4694611943340395
17083,county,31.0,0.5081868828314262
17085,state,10,0.554749214165067
17087,state,74,0.33121485705844356
17089,state,34,0.6451235636984226
17091,county,23.0,0.6159648533022682
17093,county,18.0,0.6599046380952405
17095,state,24,0.48463197381373524
17097,state,33,0.6615366188072715
17099,county,20.0,0.5877089225697139
17101,county,43.0,0.42802300036105406
17103,state,13,0.47471554559954177
17105,county,14.0,0.29782422993232466
17107,county,33.0,0.4378704917151404
17109,state,31,0.6064490253053061
17111,state,23,0.6431191530914105
17113,county,16.0,0.5766779891635794
17115,state,14,0.614224858082587
17117,county,15.0,0.39618573346173463
17119,county,33.0,0.6269415873887386
17121,state,22,0.38315291617180736
17123,state,35,0.21442764443751874
17125,state,29,0.3837659003140431
17127,county,74.0,0.3053970906364428
17129,state,33,0.3232322821464342
17131,state,34,0.43150062377749276
17133,county,24.0,0.4479198520959111
17135,county,17.0,0.45605909431458913
17137,county,21.0,0.5014723072293309
17139,state,25,0.4134171914577739
17141,county,15.0,0.6408349031460621
17143,county,20.0,0.664633495851223
17145,county,43.0,0.48272260150712026
17147,county,74.0,0.40960294368467026
17149,county,74.0,0.4899389471407231
17151,state,70,0.3151796955995207
17153,state,60,0.5870546446226297
17155,county,71.0,0.46088668462085686
17157,state,29,0.6090935857233373
17159,state,63,0.4012877922682344
17161,state,18,0.6827177622544514
17163,county,32.0,0.5814632666685728
17165,county,16.0,0.46826896473390894
17167,county,31.0,0.5941446955406795
17169,county,73.0,0.5957315112594425
17171,county,74.0,0.4979493863476151
17173,state,25,0.4413056470981669
17175,county,68.0,0.4043479228365454
17177,county,16.0,0.5545778634589981
17179,county,22.0,0.44566844269387923
17181,state,37,0.4472699474355239
17183,state,72,0.38944121104171747
17185,state,52,0.41861799016524576
17187,state,31,0.6815126378377554
17189,state,67,0.39163606426917463
17191,county,74.0,0.4442444256939623
17193,county,59.0,0.37807255276852997
17195,county,20.0,0.6376547155779837
17197,state,32,0.6961956194165442
17199,county,32.0,0.5035964562608937
17201,county,34.0,0.6321679139243183
17203,county,24.0,0.31609317523079383
18001,state,35,0.4089159198824357
18003,county,32.0,0.6198163868714227
18005,county,26.0,0.743881850705722
18007,state,43,0.596066342685335
18009,state,64,0.3156756644226748
18011,county,35.0,0.8000754029911801
18013,state,38,0.5087812220927668
