State,State Abbreviation,County,FIPS,Socioeconomic Status,Household Composition & Disability,Minority Status & Language,Housing Type & Transportation,Epidemiological Factors,Healthcare System Factors,CCVI Score
Louisiana,LA,Bienville,22013,0.830627189,0.962750716,0.638968481,0.786373766,0.970073225,0.614453996,0.943967
Virginia,VA,Emporia City,51595,0.990448902,0.869149952,0.838904807,0.920089144,0.937599491,0.203120025,0.943649
Florida,FL,Jackson,12063,0.902897167,0.58866603,0.772683859,0.873607131,0.629099013,0.913085005,0.94333
North Carolina,NC,Wayne,37191,0.692454632,0.70455269,0.907354346,0.575294492,0.772683859,0.980579433,0.943012
Virginia,VA,Nottoway,51135,0.743075454,0.885386819,0.82457816,0.886978669,0.954154728,0.521808341,0.942693
Louisiana,LA,Tensas,22107,0.995861191,0.64660936,0.64883795,0.619866285,0.730977396,0.70518943,0.942375
South Carolina,SC,Dillon,45033,0.971346705,0.933779051,0.801973894,0.827125119,0.82394142,0.41037886,0.942057
Kentucky,KY,Hickman,21105,0.776822668,0.830627189,0.349888571,0.936644381,0.7637695,0.857051894,0.941738
Kentucky,KY,Powell,21197,0.920407514,0.877109201,0.052531041,0.906717606,0.897166507,0.760904171,0.94142
Texas,TX,Jackson,48239,0.560649475,0.677491245,0.924227953,0.856733524,0.601719198,0.774275708,0.941102
Alabama,AL,Washington,01129,0.886978669,0.829672079,0.581343521,0.129258198,0.893027698,0.976758994,0.940783
Mississippi,MS,Attala,28007,0.921680993,0.978987584,0.628462273,0.632282713,0.808022923,0.597580388,0.940465
Alabama,AL,Lowndes,01085,0.975803884,0.991404011,0.721107927,0.58548233,0.226361032,0.989812162,0.940146
North Carolina,NC,Swain,37173,0.87965616,0.785418656,0.544094238,0.790830946,0.789875836,0.916905444,0.939828
Texas,TX,Shackelford,48417,0.807386183,0.914358485,0.685768863,0.950971028,0.444762814,0.800382044,0.93951
Georgia,GA,Crisp,13081,0.928685132,0.913403375,0.740210124,0.805475963,0.776185928,0.521489971,0.939191
Mississippi,MS,Holmes,28051,0.99840815,0.973893664,0.7086915,0.963069086,0.247691818,0.557147405,0.938873
Kentucky,KY,Martin,21159,0.993950971,0.326329195,0.184654569,0.961477237,0.800382044,0.859280484,0.938555
Kentucky,KY,Carroll,21041,0.935370901,0.785737026,0.450175103,0.922954473,0.870741802,0.688315823,0.938236
Georgia,GA,Meriwether,13199,0.892709328,0.936644381,0.597898758,0.58834766,0.773638968,0.741801974,0.937918
North Carolina,NC,Surry,37171,0.695638332,0.573702642,0.625915314,0.521489971,0.994587711,0.960840497,0.937599
Kentucky,KY,Owsley,21189,0.988220312,0.945240369,0.005412289,0.596943649,0.901623687,0.858325374,0.937281
Georgia,GA,McDuffie,13189,0.891435848,0.857370264,0.689270933,0.688634193,0.64756447,0.887297039,0.936963
Georgia,GA,Wilcox,13315,0.88124801,0.199617956,0.789875836,0.808978032,0.752308182,0.972620185,0.936644
Virginia,VA,Charlotte,51037,0.820120981,0.919452404,0.520853231,0.710283349,0.749442853,0.800700414,0.936326
Virginia,VA,Sussex,51183,0.863100923,0.58802929,0.806749443,0.719197708,0.909582935,0.912766635,0.936008
Arkansas,AR,Phillips,05107,0.967526266,0.99840815,0.743393824,0.405603311,0.94301178,0.365807068,0.935689
Texas,TX,Uvalde,48463,0.851321235,0.932823941,0.982808023,0.932187202,0.347659981,0.454313913,0.935371
Georgia,GA,Coffee,13069,0.841451767,0.711238459,0.864056033,0.738299904,0.609678446,0.784781917,0.935053
Georgia,GA,Wilkes,13317,0.731295766,0.830945559,0.849411016,0.401782872,0.896848138,0.857370264,0.934734
Florida,FL,Taylor,12123,0.819484241,0.499204075,0.605539637,0.971346705,0.736708055,0.754536772,0.934416
Tennessee,TN,Grundy,47061,0.937281121,0.971983445,0.325374085,0.549506527,0.721426297,0.841451767,0.934097
Georgia,GA,Telfair,13271,0.834129258,0.085004776,0.927730022,0.964660936,0.604902897,0.961477237,0.933779
Alabama,AL,Conecuh,01035,0.952562878,0.860872334,0.535498249,0.071314868,0.970391595,0.899395097,0.933461
Virginia,VA,Buckingham,51029,0.888252149,0.662846227,0.599808978,0.772683859,0.776822668,0.741483604,0.933142
Virginia,VA,Martinsville City,51690,0.8220312,0.874243871,0.768226679,0.210760904,0.891754218,0.908309456,0.932824
Georgia,GA,Elbert,13105,0.839859917,0.786692136,0.818210761,0.843680357,0.663482967,0.745940783,0.932506
Texas,TX,Floyd,48153,0.886341929,0.844635466,0.970391595,0.760585801,0.425342248,0.506526584,0.932187
Kentucky,KY,Todd,21219,0.82298631,0.598217128,0.548233047,0.842088507,0.851639605,0.846545686,0.931869
Kentucky,KY,Trimble,21223,0.845272206,0.907672716,0.287488061,0.869468322,0.856733524,0.82585164,0.93155
South Dakota,SD,Corson,46031,0.992995861,0.836039478,0.650748169,0.886341929,0.52913085,0.582298631,0.931232
Missouri,MO,Caldwell,29025,0.369309137,0.847182426,0.277618593,0.963387456,0.94141993,0.916268704,0.930914
Florida,FL,Bradford,12007,0.853231455,0.795606495,0.591849729,0.959248647,0.450811843,0.946832219,0.930595
Georgia,GA,Irwin,13155,0.965616046,0.896529768,0.687997453,0.537090099,0.603629417,0.802292264,0.930277
Mississippi,MS,Tallahatchie,28135,0.980579433,0.329831264,0.82171283,0.677809615,0.784145177,0.605221267,0.929959
Alabama,AL,Russell,01113,0.76249602,0.660617638,0.76345113,0.488697867,0.965297676,0.88092964,0.92964
Florida,FL,Okeechobee,12093,0.879019421,0.514167463,0.907035976,0.64788284,0.643425661,0.839541547,0.929322
Mississippi,MS,Yalobusha,28161,0.70614454,0.906080866,0.491244826,0.856096784,0.973256925,0.570837313,0.929004
North Carolina,NC,Nash,37127,0.598217128,0.750079592,0.804520853,0.751353072,0.76408787,0.913721745,0.928685
Oklahoma,OK,Adair,40001,0.915313594,0.955109838,0.855778415,0.64533588,0.808341293,0.416109519,0.928367
Kentucky,KY,Bath,21011,0.892390958,0.965616046,0.089461955,0.653931869,0.912766635,0.797835084,0.928048
Florida,FL,Dixie,12029,0.840815027,0.805157593,0.323782235,0.935052531,0.658389048,0.969436485,0.92773
Texas,TX,Knox,48275,0.758993951,0.993314231,0.9385546,0.483285578,0.801973894,0.332696593,0.927412
New Mexico,NM,Cibola,35006,0.955746578,0.957656797,0.933460681,0.958930277,0.404648201,0.368990767,0.927093
Michigan,MI,Lake,26085,0.967207896,0.687042343,0.379496975,0.654886979,0.797516714,0.88124801,0.926775
Alabama,AL,Randolph,01111,0.732887615,0.512893983,0.458134352,0.858007004,0.877745941,0.923591213,0.926457
Florida,FL,Franklin,12037,0.843361987,0.269022604,0.599490608,0.944921999,0.774594078,0.867239733,0.926138
Arkansas,AR,Prairie,05117,0.728748806,0.776504298,0.17669532,0.934734161,0.82234957,0.924864693,0.92582
Arkansas,AR,Clark,05019,0.53167781,0.560967845,0.659344158,0.929003502,0.895256288,0.839859917,0.925501
North Carolina,NC,Northampton,37131,0.901942057,0.931550462,0.840496657,0.70709965,0.215854823,0.99936326,0.925183
North Carolina,NC,Wilkes,37193,0.774912448,0.633874562,0.475007959,0.365488698,0.991722381,0.985673352,0.924865
Texas,TX,Terry,48445,0.894937918,0.948105699,0.978350844,0.960522127,0.402101242,0.326329195,0.924546
Mississippi,MS,Neshoba,28099,0.926138173,0.989175422,0.673670805,0.833174148,0.731295766,0.516077682,0.924228
