FIPS,region,shift,correlation
12049,county,74.0,0.7321120044925558
12051,county,57.0,0.7901758607087817
12053,state,35,0.4292405246464599
12055,county,30.0,0.4785048729421786
12057,county,26.0,0.8121385452089803
12059,state,18,0.3210138745696658
12061,state,22,0.5741387449062465
12063,county,19.0,0.7429741954108492
12065,state,48,0.4990152132791866
12067,county,11.0,0.5660745372655827
12069,county,27.0,0.7277679030811038
12071,state,24,0.8294853681488389
12073,county,74.0,0.5234957792734821
12075,county,12.0,0.5920179528567096
12077,county,74.0,0.4888974658515764
12079,county,14.0,0.5571035405184722
12081,state,23,0.8452560752807968
12083,county,41.0,0.841621703708133
12085,state,7,0.696001394411785
12086,county,29.0,0.8502894728242553
12087,county,30.0,0.7301561025870221
12089,county,23.0,0.29317003179644135
12091,county,36.0,0.5372267153077351
12093,county,69.0,0.6934988927005904
12095,county,26.0,0.8205132203589452
12097,county,25.0,0.8220539706363118
12099,state,23,0.7884047436263173
12101,county,20.0,0.8102146444477457
12103,county,23.0,0.8348883717741087
12105,county,25.0,0.739998128374945
12107,county,19.0,0.7324110821908346
12109,county,23.0,0.5749045878447602
12111,county,31.0,0.7904837155329325
12113,county,34.0,0.6391490939174522
12115,county,20.0,0.7166165776216953
12117,county,21.0,0.8694650527112893
12119,state,61,0.25620401069523185
12121,county,61.0,0.6116529155288289
12123,county,74.0,0.5639809131650495
12125,county,50.0,0.7353310915759556
12127,county,24.0,0.7649971511854404
12129,state,40,0.45346195358742347
12131,county,13.0,0.4833736979297279
12133,state,53,0.670696755864385
13001,county,34.0,0.47562608897626507
13003,county,74.0,0.4810737811026068
13005,county,59.0,0.6726318360933894
13007,state,10,0.42271855856618074
13009,state,67,0.5743914067987054
13011,county,34.0,0.4845646280472142
13013,county,28.0,0.6933374613768007
13015,county,30.0,0.6884525059494742
13017,county,12.0,0.5912332566106752
13019,state,3,0.35089709005232084
13021,county,16.0,0.5735398409625236
13023,county,33.0,0.21084200203088782
13025,county,30.0,0.32394545293596805
13027,state,25,0.7513347158883672
13029,county,50.0,0.3666563571795776
13031,county,74.0,0.6910999619984141
13033,state,25,0.346360228713545
13035,state,23,0.5409423648195584
13037,state,26,0.43294697111065045
13039,state,33,0.4048972940285483
13043,county,73.0,0.45441311817342417
13045,state,1,0.4667528145827249
13047,county,13.0,0.5361934871680558
13049,state,34,0.5630643609249633
13051,county,21.0,0.7397979769470222
13053,state,74,0.6854508950908098
13055,state,65,0.18946693888817798
13057,county,23.0,0.47532929126119944
13059,county,72.0,0.5849657201013035
13061,state,5,0.4151555645270936
13063,county,30.0,0.7196238993498125
13065,county,36.0,0.4313220074189647
13067,county,30.0,0.582264256703576
13069,state,9,0.6178566597119812
13071,state,5,0.5426512603612494
13073,county,28.0,0.5865805984197853
13075,state,11,0.5875733217975662
13077,county,30.0,0.5029786373432136
13079,state,15,0.5139187529520189
13081,state,18,0.41323961589875496
13083,state,17,0.18883946762881423
13085,state,52,0.5002285640706525
13087,county,19.0,0.22186840417391648
13089,state,18,0.7793619421639147
13091,state,5,0.1875304888983143
13093,state,25,0.44031458522080835
13095,state,32,0.6044315980258943
13097,state,11,0.6225497778723681
13099,state,21,0.4892018348941761
13101,state,60,0.4456475282312377
13103,county,74.0,0.2153858806065922
13105,state,27,0.19474634685552739
13107,county,12.0,0.39367610660470326
13109,county,68.0,0.6627442515585052
13111,state,1,0.044820857460451155
